time,ego_x,ego_y,Steer,GazeOrigin,EyeHitSite,EyeHitType,vehicle_1_x,vehicle_1_y,vehicle_1_z,vehicle_2_x,vehicle_2_y,vehicle_2_z,vehicle_3_x,vehicle_3_y,vehicle_3_z,ego_x_vel,ego_x_acc,ego_y_vel,ego_y_acc,ego_x_acc_jerk,ego_y_acc_jerk,TTC_1,TTC_2,TTC_3,TTC_MIN,position,lateral_offset,collision,Steer_rate
9.1,3317.286062,4253.3468760000005,0.053,x=331688.594_y=425348.250_z=244.999,x=331315.719_y=424643.312_z=142.114,3.0,3316.3993749999995,4247.866458333333,140.820007,,,,,,,-2.403319151398627,8.798340991543142,-2.382195499818515,8.20035372894052,3.472550671647916,7.493138154908134,1.9378392068515935,,,1.9378392068515935,1,-0.8014962300344316,0,-0.0008945182461359538
9.2,3317.145562,4253.205188,0.053,x=331681.938_y=425341.625_z=244.998,x=331244.500_y=424572.938_z=142.286,3.0,3316.3585937499997,4247.817265625,140.908005,3276.7796875,4194.21875,,,,,-1.5362740524822456,8.203226259947261,-1.538029470712146,7.91157614856456,-5.9511473159588135,-2.8877758037596024,4.0033969202442234,,,4.0033969202442234,1,-0.8066361510215984,0,0.00045662726679100886
9.3,3317.0678740000003,4253.126688,0.053,x=331681.906_y=425341.594_z=245.000,x=331204.531_y=424519.375_z=142.556,3.0,3316.310875,4247.7596875,141.067001,3276.7796875,4194.21859375,,,,,-0.8343344884225876,6.702846044803727,-0.8401931980887323,6.6006976049893415,-15.00380215143534,-13.108785435752184,14.829460491389307,64.68415027018024,,14.829460491389307,1,-0.8094499761877918,0,0.0024613564602740273
9.4,3317.052998,4253.11175,0.054,x=331681.844_y=425341.500_z=245.000,x=331124.156_y=424229.750_z=145.333,3.0,3316.2090624999996,4247.6368125,141.264008,3276.779479166666,4194.218333333333,114.119003,,,,-0.35757819823558423,4.5649905550189365,-0.36160301158172103,4.541376018561902,-21.378554897847906,-20.593215864274395,3.9969927652865147,343.8370910456362,,3.9969927652865147,1,-0.8100057989737949,0,0.004529345967768026
9.5,3317.047436,4253.105936,0.054,x=331681.562_y=425341.250_z=245.003,x=331302.062_y=424562.781_z=142.971,3.0,3316.0723124999995,4247.4716874999995,141.363998,3276.779296875,4194.218124999999,114.119003,,,,-0.16273470448881994,2.224132619003122,-0.16782813895923504,2.201846447426934,-23.408579360158143,-23.39529571134968,2.7707001188630693,918.1997502869307,,2.7707001188630693,1,-0.8101719554359718,0,0.004840767219378166
9.6,3317.031686,4253.089248,0.055,x=331680.938_y=425340.625_z=244.993,x=331341.438_y=424652.250_z=142.254,3.0,3315.9138125,4247.280375,141.550995,3276.7790625,4194.2178125,114.119003,,,,-0.1859422513518959,0.3031525183387112,-0.1967926527977158,0.25063940238197097,-19.20980100664411,-19.512070450449627,2.6227208554195065,316.1408637227976,,2.6227208554195065,1,-0.81060160573848,0,0.004575002890214486
9.7,3317.002248,4253.057874,0.055,x=331679.094_y=425338.656_z=245.002,x=331124.938_y=424401.344_z=143.232,3.0,3315.718875,4247.045062499999,141.985001,3276.7785624999997,4194.2171875,114.119003,,,,-0.3022369454314967,-0.8292692827456435,-0.321841542174406,-0.9140255307214509,-11.324218010843547,-11.646649331034217,2.3409202406123217,168.80084136744972,,2.3409202406123217,1,-0.8113713735706466,0,0.0030522778819121214
9.8,3316.957686,4253.010437999999,0.055,x=331673.938_y=425333.188_z=244.998,x=331177.406_y=424538.750_z=142.054,3.0,3315.4824999999996,4246.75975,142.356003,3276.7778125,4194.2163125,114.119003,,,,-0.4447006906426062,-1.3349958116609113,-0.47516387641669466,-1.4527471360172717,-5.057265289152678,-5.387216052958208,2.101728471571237,111.38574549896441,,2.101728471571237,1,-0.8125469269909742,0,0.0036365077723194785
9.9,3316.8991240000005,4252.94775,0.056,x=331666.906_y=425325.719_z=245.004,x=331510.438_y=425124.031_z=134.660,3.0,3315.22825,4246.4528125,142.910004,3276.7770625000003,4194.215375,114.119003,,,,-0.5991074548144355,-1.598309689962965,-0.6445081537848127,-1.7652900046597533,-2.6331387830205366,-3.125428686424816,2.142815508048218,84.08693293311222,,2.142815508048218,1,-0.8140282468976985,0,0.00816183882134906
10.0,3316.8236859999997,4252.866064,0.057,x=331659.031_y=425317.406_z=245.000,x=331460.750_y=425074.312_z=134.863,3.0,3314.9431249999993,4246.1085625,143.552994,3276.7760625,4194.214125,114.119003,,,,-0.7804836960639504,-1.8894252850538318,-0.8487839524291061,-2.134298566653741,-2.911155950908668,-3.690085619939878,2.0874723495264,64.80263035073817,,2.0874723495264,1,-0.8157665745535538,0,0.014749453374485239
10.1,3316.726312,4252.759252000001,0.06,x=331651.344_y=425309.031_z=244.998,x=331430.969_y=425050.656_z=134.927,3.0,3314.6073124999994,4245.7029999999995,144.078995,3276.774875,4194.212625,114.119003,,,,-1.0079849522840298,-2.276490113559894,-1.1107105770025483,-2.6267288236581354,-3.8706482850606205,-4.924302570043944,1.927485470227334,49.695321922004304,,1.927485470227334,1,-0.8177603613942255,0,0.01976735872458799
