filename,driver,semantics,durations,lateral,longitudinal,safe,law,average,variance,category
4_D4.,4_D,"['缓慢加速，左偏', '缓慢减速，右偏', '缓慢加速，左偏', '缓慢减速，右偏']","[2.1, 2.6, 1.5, 2.9]",0,0,40.92950521,100,35.2323763,2236.647679,poor
4_E1.,4_E,"['缓慢加速，右偏', '激烈减速，右偏', '缓慢加速，右偏']","[4.2, 1.9, 5.5]",54.92391818,0,25,100,44.98097955,1849.494235,poor
4_E2.,4_E,"['激烈加速，右偏换道', '激烈减速，左偏', '激烈加速，右偏换道', '不加速，直行']","[2.3, 2.1, 1.4, 5.8]",0,49.85736427,25,100,43.71434107,1822.327437,poor
4_E3.,4_E,"['缓慢减速，左偏', '激烈加速，右偏', '缓慢减速，左偏', '激烈加速，右偏']","[1.4, 2.0, 1.8, 2.1]",0,0,25.94236045,100,31.48559011,2235.878842,poor
4_E4.,4_E,"['激烈减速，右偏', '激烈加速，左偏换道', '激烈减速，右偏']","[1.2, 1.7, 5.1]",0,0,25,100,31.25,2239.583333,poor
5_A1.,5_A,"['不加速，直行', '激烈加速，直行', '不加速，直行', '激烈减速，直行', '不加速，直行', '激烈减速，直行', '激烈加速，直行']","[1.6, 1.6, 1.8, 2.4, 1.6, 1.5, 1.1]",0,4.053773545,30.15062203,100,33.55109889,2140.92938,poor
5_A2.,5_A,"['缓慢加速，直行', '缓慢减速，直行', '缓慢加速，直行']","[2.4, 5.6, 3.6]",39.41880139,4.157349532,61.54543905,100,51.28039749,1613.416619,good
5_A3.,5_A,"['不加速，左偏', '激烈加速，右偏', '激烈减速，直行', '不加速，左偏', '激烈减速，直行', '激烈加速，右偏']","[1.1, 1.6, 2.8, 2.6, 2.4, 1.1]",0,0,56.84730843,100,39.21182711,2360.448978,poor
5_A4.,5_A,"['缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行', '激烈减速，直行']","[2.5, 1.7, 2.7, 3.9]",0,0,37.90836159,100,34.4770904,2227.454943,poor
5_B1.,5_B,"['激烈加速，右偏', '不加速，直行', '激烈减速，左偏', '不加速，直行', '激烈加速，右偏']","[2.2, 3.6, 2.7, 1.5, 1.6]",0,11.45149374,75,100,46.61287343,2355.032277,poor
5_B2.,5_B,"['不加速，直行', '激烈加速，直行', '激烈减速，直行', '激烈加速，直行']","[4.5, 3.0, 1.5, 2.6]",0,0,75,100,43.75,2656.25,poor
5_B3.,5_B,"['激烈加速，右偏', '激烈减速，直行', '不加速，右偏', '激烈减速，直行', '不加速，右偏', '激烈加速，右偏']","[2.9, 1.8, 2.3, 1.3, 1.4, 1.9]",0,11.89632259,75,100,46.72408065,2344.654547,poor
5_B4.,5_B,"['缓慢减速，直行', '缓慢加速，左偏', '激烈减速，右偏', '缓慢加速，左偏', '缓慢减速，直行', '缓慢加速，左偏']","[1.1, 1.9, 1.5, 1.2, 2.3, 3.6]",59.31103037,65.87834415,75,100,75.04734363,318.1131359,excellent
5_C1.,5_C,"['激烈加速，直行', '不加速，直行', '激烈减速，直行', '激烈加速，直行', '激烈减速，直行', '激烈加速，直行']","[2.4, 1.4, 1.8, 1.9, 1.3, 2.8]",63.98022993,75,75,100,78.49505748,232.5245417,excellent
5_C2.,5_C,"['缓慢加速，直行', '激烈减速，右偏', '缓慢加速，直行', '激烈减速，右偏']","[5.9, 1.9, 1.8, 2.0]",0,0,75,100,43.75,2656.25,poor
5_C3.,5_C,"['缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行']","[4.2, 1.8, 3.0, 1.2, 1.4]",38.62051365,15.18296855,75,100,57.20087055,1419.769414,good
5_C4.,5_C,"['不加速，直行', '缓慢加速，直行', '不加速，直行', '激烈减速，左偏', '缓慢加速，直行', '激烈减速，左偏']","[1.2, 1.9, 1.3, 4.0, 1.7, 1.5]",60.40769163,66.60592872,75,100,75.50340509,302.4607432,excellent
5_D1.,5_D,"['缓慢减速，直行', '缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行']","[1.1, 2.2, 1.3, 3.2, 1.8, 2.0]",62.85866183,57.60630364,53.86482835,100,68.58244846,452.3027916,good
5_D2.,5_D,"['激烈加速，直行', '缓慢减速，直行', '激烈加速，直行', '缓慢减速，直行', '激烈加速，直行']","[2.9, 3.7, 2.1, 1.2, 1.8]",65.03176375,75,75,100,78.75794094,222.6257512,excellent
5_D3.,5_D,"['缓慢加速，右偏换道', '激烈减速，左偏换道', '缓慢加速，右偏换道', '缓慢减速，左偏换道', '缓慢加速，右偏换道']","[3.3, 1.1, 2.3, 2.0, 3.0]",61.1794706,67.80723333,75,100,75.99667598,287.9231577,excellent
5_D4.,5_D,"['激烈加速，左偏', '不加速，左偏', '激烈减速，右偏', '不加速，左偏']","[2.5, 1.3, 5.4, 2.4]",50.69067264,38.39971334,75,100,66.0225965,744.3830951,good
5_E1.,5_E,"['激烈减速，直行', '缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行']","[5.0, 2.3, 1.7, 2.7]",0,15.97200341,75,100,47.74300085,2254.176124,poor
5_E2.,5_E,"['不加速，左偏', '缓慢减速，右偏', '不加速，左偏', '缓慢减速，右偏']","[2.8, 2.4, 1.8, 4.6]",65.1054155,75,75,100,78.77635388,221.953136,excellent
5_E3.,5_E,"['不加速，直行', '缓慢加速，直行', '缓慢减速，直行', '缓慢加速，直行']","[4.3, 2.2, 1.4, 3.7]",74.48227624,75,75,100,81.12056906,158.4741918,excellent
5_E4.,5_E,"['不加速，直行', '缓慢减速，直行', '缓慢加速，左偏']","[2.5, 4.0, 5.1]",75,75,75,100,81.25,156.25,excellent
6_A1.,6_A,"['缓慢加速，直行', '激烈减速，右偏', '缓慢加速，直行', '缓慢减速，直行', '缓慢加速，直行']","[2.2, 1.5, 3.0, 2.3, 2.6]",58.6301253,67.98467583,75,100,75.40370028,313.845225,excellent
6_A2.,6_A,"['缓慢减速，直行', '不加速，右偏', '缓慢减速，直行', '缓慢加速，左偏换道']","[3.6, 2.9, 2.5, 2.6]",73.80607976,75,74.29996937,100,80.77651228,164.4810373,excellent
6_A3.,6_A,"['缓慢减速，直行', '缓慢加速，直行', '缓慢减速，直行', '不加速，直行']","[2.6, 2.8, 2.4, 3.8]",66.09992243,75,34.55805861,100,68.91449526,730.5428441,good
6_A4.,6_A,"['激烈加速，左偏', '不加速，左偏', '激烈减速，右偏', '激烈加速，左偏', '激烈减速，右偏', '不加速，左偏']","[2.3, 1.8, 1.7, 1.1, 3.0, 1.7]",59.40084982,69.57807228,75,100,75.99473052,297.9242771,excellent
6_B1.,6_B,"['激烈加速，直行', '激烈减速，右偏', '激烈加速，直行', '激烈减速，右偏']","[1.1, 5.4, 1.5, 3.6]",45.03012958,26.7786904,25,100,49.20220499,1228.794308,poor
6_B2.,6_B,"['激烈加速，左偏', '激烈减速，直行', '激烈加速，左偏', '激烈减速，直行', '激烈加速，左偏']","[3.0, 1.3, 2.6, 1.7, 3.1]",58.27093127,75,25,100,64.56773282,989.8443154,poor
6_B3.,6_B,"['激烈减速，直行', '缓慢加速，直行', '不加速，直行', '激烈减速，直行', '缓慢加速，直行', '激烈减速，直行']","[1.9, 1.3, 2.0, 1.2, 3.9, 1.3]",60.41737743,65.86334497,75,100,75.3201806,306.9070945,excellent
