time,ego_x,ego_y,Steer,GazeOrigin,EyeHitSite,EyeHitType,vehicle_1_x,vehicle_1_y,vehicle_1_z,vehicle_2_x,vehicle_2_y,vehicle_2_z,vehicle_3_x,vehicle_3_y,vehicle_3_z,ego_x_vel,ego_x_acc,ego_y_vel,ego_y_acc,ego_x_acc_jerk,ego_y_acc_jerk,TTC_1,TTC_2,TTC_3,TTC_MIN,position,lateral_offset,collision,Steer_rate
8.2,3334.3231220000002,4264.283314,-0.026,x=333427.969_y=426472.375_z=249.002,x=333062.719_y=426172.875_z=135.454,3,3316.4229166666664,4247.8949999999995,140.820007,,,,,,,-3.620877677957759,-1.4608102383514296,-2.977433179263328,-1.358202206314551,0.6746971023364412,-0.8995582002252411,5.6980292082174735,,,5.6980292082174735,1,0.9587280791504389,0,0.17299297967377453
8.3,3333.9371220000003,4263.963126000001,-0.002,x=333384.656_y=426436.438_z=248.982,x=332878.031_y=426029.812_z=134.935,3,3316.409765625,4247.8790625,140.841003,,,,,,,-3.7374673390726687,-1.213541608808709,-3.1044601196146777,-1.297630105757075,2.4726862954272066,0.6057210055747597,4.943299738931154,,,4.943299738931154,1,0.9320305153338379,0,0.19160527271397085
8.4,3333.5710599999998,4263.6555020000005,0.015,x=333348.688_y=426406.094_z=248.971,x=332785.312_y=425946.375_z=134.754,3,3316.358125,4247.816812499999,140.990997,,,,,,,-3.8144261766071024,-1.0179873947811233,-3.2110029980007138,-1.2633451532399635,1.9555421402758566,0.3428495251711139,5.86488959520927,,,5.86488959520927,1,0.9074356084636743,0,0.15583762597533785
8.5,3333.1675600000003,4263.3110639999995,0.022,x=333303.688_y=426367.656_z=248.986,x=332762.188_y=425898.656_z=134.980,3,3316.2704375000003,4247.7109375,140.990997,,,,,,,-3.9248930011616423,-1.0236574985064095,-3.356416604822722,-1.3759616872389293,-0.05670103725286202,-1.1261653399896576,5.810483033060457,,,5.810483033060457,1,0.8812998592460314,0,0.09948350508401402
8.6,3332.7714979999996,4262.966688,0.026,x=333272.938_y=426340.969_z=249.032,x=332733.125_y=425862.469_z=135.091,3,3316.1558750000004,4247.572687500001,141.347,,,,,,,-4.034132236323898,-1.0722852443767295,-3.5099464483810383,-1.4978320770642264,-0.4862774587031993,-1.2187038982529708,6.492066930735107,,,6.492066930735107,1,0.8567905992775355,0,0.07825312329543446
8.7,3332.350624,4262.594,0.038,x=333226.031_y=426299.719_z=249.011,x=332667.938_y=425795.250_z=135.239,3,3316.0084375000006,4247.394937499999,141.421997,,,,,,,-4.138579305434447,-1.0991912956527448,-3.6644579726965594,-1.5594350414545963,-0.2690605127601531,-0.6160296439036994,6.645923285123523,,,6.645923285123523,1,0.831972680768055,0,0.08975335021557042
8.8,3331.9369999999994,4262.221312,0.049,x=333186.031_y=426263.781_z=248.984,x=332639.781_y=425764.562_z=135.315,3,3315.8213125,4247.169125,141.697998,,,,,,,-4.2573051566582105,-1.116689115213412,-3.8296602031646865,-1.5504030204140373,-0.17497819560667205,0.09032021040559002,8.168793835615846,,,8.168793835615846,1,0.8087511438980265,0,0.07483814545657863
8.9,3331.481438,4261.8058120000005,0.052,x=333137.344_y=426219.312_z=248.997,x=332610.250_y=425728.812_z=135.421,3,3315.614375,4246.919250000001,142.171005,,,,,,,-4.377453817225325,-1.0045746512274034,-3.986029723910021,-1.355205494484511,1.1211446398600855,1.9519752592952622,7.282962628886086,,,7.282962628886086,1,0.7840899511211632,0,0.0034851867515212475
9.0,3331.049376,4261.408126,0.039,x=333095.750_y=426180.969_z=248.011,x=332576.719_y=425689.562_z=135.531,3,3315.3788125,4246.634875000001,142.565994,,,,,,,-4.439727877211582,-0.7487683350042362,-4.073706977841063,-0.9728577619104418,2.558063162231672,3.8234773257406927,9.494538950216558,,,9.494538950216558,1,0.7613598769767659,0,-0.08919521010324274
9.1,3330.589502,4260.984126,0.021,x=333043.688_y=426133.062_z=247.980,x=332523.875_y=425640.594_z=135.610,3,3315.1154374999996,4246.316812499999,143.197998,,,,,,,-4.482750121682933,-0.6108907061486746,-4.123857765899136,-0.6644837848255791,1.3787762885556165,3.0837397708486267,9.550763199174202,,,9.550763199174202,0,0.7372968006649858,0,-0.13876641070754522
