time,ego_x,ego_y,Steer,GazeOrigin,EyeHitSite,EyeHitType,vehicle_1_x,vehicle_1_y,vehicle_1_z,vehicle_2_x,vehicle_2_y,vehicle_2_z,vehicle_3_x,vehicle_3_y,vehicle_3_z,ego_x_vel,ego_x_acc,ego_y_vel,ego_y_acc,ego_x_acc_jerk,ego_y_acc_jerk,TTC_1,TTC_2,TTC_3,TTC_MIN,position,lateral_offset,collision,Steer_rate
12.6,3317.4197520000002,4248.195812,0.007,x=331723.844_y=424853.812_z=254.022,x=0.000_y=0.000_z=0.000,0,3295.2164375,4222.409375,142.738007,3276.68325,4194.09775,114.119003,3265.6860625,4186.622875,112.635002,-3.3711049476859287,-4.927758372217475,-3.906262299457235,-5.794916345642664,-0.6766618771527533,-1.101424571631835,6.204304588038395,13.369857948063753,15.878645418912168,6.204304588038395,0,0.16578509334853095,0,0.022188411487400153
12.7,3317.040878,4247.755812,0.007,x=331681.031_y=424803.969_z=254.002,x=326744.469_y=417897.469_z=806.075,3,3294.5750625,4221.6551875,142.731003,3276.6801875,4194.0938750000005,114.119003,3265.682875,4186.619124999999,112.634003,-3.868283393699522,-5.0488983809527666,-4.494997874144796,-5.978699507808848,-1.2114000873529118,-1.837831621661845,8.411443780741655,11.663215870766397,13.868827303214433,8.411443780741655,0,0.16247054167811278,0,0.009463107082726512
12.8,3316.59269,4247.233562,0.007,x=331641.969_y=424758.688_z=255.010,x=0.000_y=0.000_z=0.000,0,3293.9343125,4220.90275,142.615005,3276.677125,4194.0899375,114.119003,3265.6796875,4186.615374999999,112.632004,-4.4109272607133345,-5.198588221246151,-5.141638936168048,-6.202654623659785,-1.4968984029338461,-2.2395511585093697,11.574992108430706,9.728141944026662,11.585705519033874,9.728141944026662,0,0.15886879577477978,0,0.0017983465936685303
12.9,3316.09844,4246.655876,0.007,x=331594.312_y=424703.250_z=255.976,x=0.000_y=0.000_z=0.000,0,3293.2932499999997,4220.150625,142.376007,3276.6740625,4194.0860625000005,114.119003,3265.6765,4186.6115625,112.630997,-4.9264611909687765,-5.21524999475071,-5.7616942438761285,-6.278382259823827,-0.16661773504559108,-0.7572763616404199,15.336029684965531,8.69956580706323,10.38098166569615,8.69956580706323,0,0.15521775478950597,0,0.00013830907358552762
13.0,3315.5647519999998,4246.029814,0.007,x=331532.344_y=424630.688_z=256.988,x=0.000_y=0.000_z=0.000,0,3292.6544999999996,4219.401625,142.031998,3276.671,4194.0822499999995,114.119003,3265.6733125,4186.6078125,112.629997,-5.441697499680948,-5.159028257849682,-6.388529905714862,-6.277771630122188,0.5622173690102805,0.006106297016392759,21.72183182837565,7.935462904910931,9.488253886814244,7.935462904910931,0,0.1516905608122186,0,4.014918738442252e-06
13.1,3314.954752,4245.3109380000005,0.007,x=331476.344_y=424564.812_z=258.015,x=0.000_y=0.000_z=0.000,0,3292.0130624999997,4218.649875,141.778,3276.6679375,4194.078375,114.119003,3265.670125,4186.604125,112.628998,-5.97724751621935,-4.889171633792797,-7.046764690460486,-6.028107384127583,2.6985662405688515,2.4966424599460435,77.32613643478203,6.819522413032752,8.172404460970526,6.819522413032752,0,0.1482586455958466,0,0.0
13.2,3314.304938,4244.541814,0.007,x=331413.656_y=424490.719_z=259.003,x=0.000_y=0.000_z=0.000,0,3291.3651249999994,4217.890625,141.195007,3276.6648125,4194.0745,114.119003,3265.6669374999997,4186.600312500001,112.627998,-6.405836043477855,-4.119333634816542,-7.5852065418617105,-5.183514541208076,7.698379989762554,8.445928429195071,349.8671931450045,6.283847342585975,7.550530964462356,6.283847342585975,0,0.14520861707459667,0,-1.3383062461474176e-06
13.3,3313.636688,4243.747064,0.007,x=331336.469_y=424398.938_z=258.994,x=0.000_y=0.000_z=0.000,0,3290.7174375000004,4217.1315,140.518997,3276.66175,4194.0706875000005,114.119003,3265.6636875,4186.5964375,112.625999,-6.696654640376223,-3.009337191236809,-7.966658790914941,-3.92848572697648,11.099964435797327,12.550288142315962,85.38992820954871,5.992102649955904,7.221174223687762,5.992102649955904,0,0.14276483037909204,0,-4.431861620031266e-05
13.4,3312.9373739999996,4242.911311999999,0.007,x=331269.062_y=424318.375_z=259.009,x=0.000_y=0.000_z=0.000,0,3290.06625,4216.368,140.201004,3276.6586875000003,4194.06675,114.119003,3265.6604374999997,4186.592624999999,112.625,-6.892990748775011,-1.8231805386711932,-8.24128261831277,-2.5710290457416383,11.861566525656157,13.574566812348419,40.35985300485977,5.6089928966009825,6.778828251181206,5.6089928966009825,0,0.1409461969216529,0,-0.0005399112742070441
13.5,3312.230624,4242.061874,0.007,x=331197.938_y=424232.969_z=258.996,x=0.000_y=0.000_z=0.000,0,3289.407125,4215.594749999999,138.957993,3276.6555625,4194.0628125,114.119003,3265.6571875,4186.5888125,112.624001,-6.94413770246342,-0.617184838757328,-8.347041676189894,-1.1734216990371755,12.059956999138652,13.976073467044626,38.89751383321504,5.431477861475222,6.584710792287623,5.431477861475222,0,0.1399820093598536,0,-0.002419714456566007
13.6,3311.552624,4241.24225,0.006,x=331126.406_y=424146.562_z=258.978,x=0.000_y=0.000_z=0.000,0,3288.78225,4214.8609375,138.192993,3276.6524999999997,4194.0590625,114.119003,3265.6540625,4186.5850625,112.623001,-6.873083584947427,0.41517192733984,-8.309351664843781,0.03897472162733714,10.32356766097168,12.123964206645125,34.52971455620341,5.542540897493142,6.740772593424969,5.542540897493142,0,0.13992012463553014,0,-0.003990772999807125
