time,ego_x,ego_y,Steer,GazeOrigin,EyeHitSite,EyeHitType,vehicle_1_x,vehicle_1_y,vehicle_1_z,vehicle_2_x,vehicle_2_y,vehicle_2_z,vehicle_3_x,vehicle_3_y,vehicle_3_z,ego_x_vel,ego_x_acc,ego_y_vel,ego_y_acc,ego_x_acc_jerk,ego_y_acc_jerk,TTC_1,TTC_2,TTC_3,TTC_MIN,position,lateral_offset,collision,Steer_rate
5.3,3331.779624,4262.725936000001,0.019,x=333151.938_y=426300.812_z=251.996,x=0.000_y=0.000_z=0.000,0,3316.4234375,4247.895416666666,140.820007,,,,,,,-5.335965782911551,2.365657294023096,-4.709842889779313,1.5215818766615945,-2.606134183865012,-2.2004392255117122,3.2782494772184796,,,3.2782494772184796,0,0.6822225378600366,0,0.002293939251675262
5.4,3331.2506240000002,4262.252874000001,0.019,x=333105.562_y=426259.406_z=252.011,x=0.000_y=0.000_z=0.000,0,3316.3948437500003,4247.8609375,140.854996,,,,,,,-5.154770342459852,2.0284594961834683,-4.605702554973938,1.2515135695035966,-3.371977978396279,-2.700683071579979,3.1084704522496875,,,3.1084704522496875,0,0.6518711895495601,0,0.00018128938353969288
5.5,3330.7580000000003,4261.807122,0.019,x=333060.781_y=426219.000_z=251.986,x=0.000_y=0.000_z=0.000,0,3316.3525625,4247.809875,140.975006,,,,,,,-4.9603625511094585,1.721950657760242,-4.482585438878166,1.0242953285807843,-3.065088384232264,-2.272182409228123,3.354216743765417,,,3.354216743765417,0,0.6245572157039226,0,5.35322498458967e-06
5.6,3330.291752,4261.381372000001,0.019,x=332997.375_y=426161.094_z=252.007,x=0.000_y=0.000_z=0.000,0,3316.2699375,4247.7103125,141.115997,3276.7796875,4194.21875,,,,,-4.814370221011002,1.209913446024108,-4.397680434482712,0.6031886768797291,-5.120372117361338,-4.2110665170105515,3.8890480099409444,,,3.8890480099409444,0,0.5994092637350493,0,0.0
5.7,3329.80844,4260.935186,0.019,x=332953.500_y=426120.562_z=251.999,x=0.000_y=0.000_z=0.000,0,3316.150375,4247.5660625,141.328995,3276.77953125,4194.2184375,,,,,-4.796609624088379,0.5754643963217396,-4.42815373185476,0.04703112756330058,-6.344490497023685,-5.561575493164286,4.042893345633434,12.96283166886733,,4.042893345633434,0,0.5742247220092981,0,0.0
5.8,3329.322878,4260.482436,0.019,x=332917.875_y=426087.438_z=251.996,x=0.000_y=0.000_z=0.000,0,3315.9957499999996,4247.3795,141.408005,3276.779375,4194.218229166667,114.119003,,,,-4.79117696948907,0.2479500181916875,-4.470680873151171,-0.24892773508578714,-3.275143781300521,-2.959588626490877,4.400586564421867,12.743147030544527,,4.400586564421867,0,0.5497398460105308,0,0.0
5.9,3328.8520040000003,4260.037686,0.019,x=332862.969_y=426035.719_z=251.997,x=0.000_y=0.000_z=0.000,0,3315.8150624999994,4247.161437500001,141.761002,3276.779140625,4194.21796875,114.119003,,,,-4.742243464768148,0.07148075986759006,-4.473611300377378,-0.41807630778600413,-1.7646925832409743,-1.69148572700217,4.97612990700051,12.964608729922269,,4.97612990700051,0,0.5270325849239796,0,0.0
6.0,3328.392878,4259.600186000001,0.019,x=332817.094_y=425992.000_z=252.001,x=0.000_y=0.000_z=0.000,0,3315.5966875,4246.8979375,142.227005,3276.7788124999997,4194.217625,114.119003,,,,-4.772601375846679,-0.37759103996342425,-4.55055446051799,-0.8473501901988005,-4.490717998310143,-4.292738824127964,6.0698235782573535,13.144606804201102,,6.0698235782573535,0,0.505592129488309,0,0.0
6.1,3327.8883140000007,4259.1145,0.019,x=332761.094_y=425938.094_z=252.005,x=0.000_y=0.000_z=0.000,0,3315.355375,4246.6064375000005,142.623001,3276.7782500000003,4194.216875,114.119003,,,,-4.914838976303461,-0.7528561460488356,-4.735163364340491,-1.2089196835684197,-3.752651060854113,-3.615694933696192,5.412845511015727,11.810902155709664,,5.412845511015727,0,0.4829197847107481,0,0.0
6.2,3327.3805,4258.619812,0.019,x=332723.125_y=425901.188_z=251.998,x=0.000_y=0.000_z=0.000,0,3315.0775000000003,4246.271,143.248001,3276.7775,4194.2159375,114.119003,,,,-4.982698356053658,-0.4996881402166003,-4.850112438437305,-0.9726538520017456,2.5316800583223524,2.3626583156667413,6.2321878517513305,11.57274626719425,,6.2321878517513305,0,0.4611707969325462,0,0.0
6.3,3326.892248,4258.139999999999,0.019,x=332664.875_y=425843.969_z=252.003,x=0.000_y=0.000_z=0.000,0,3314.764375,4245.892750000001,143.759003,3276.7765625,4194.214750000001,114.119003,,,,-4.93834521937105,0.06790802031016956,-4.8572077729062535,-0.4321868041191902,5.675961605267698,5.404670478825554,8.513893901483009,11.891989593033918,,8.513893901483009,0,0.44102073317370716,0,0.0
6.4,3326.4069360000003,4257.657187999999,0.019,x=332608.312_y=425787.750_z=252.028,x=0.000_y=0.000_z=0.000,0,3314.4255,4245.483375,144.501007,3276.7755,4194.2134375000005,114.119003,,,,-4.904086558897775,0.5104639796573758,-4.875366695901307,0.001472041854275491,4.4255595934720615,4.3365884597346565,10.426655546623637,11.795528571122935,,10.426655546623637,0,0.42206423376690116,0,0.0
6.5,3325.9006240000003,4257.148626,0.019,x=332572.250_y=425751.531_z=252.028,x=0.000_y=0.000_z=0.000,0,3314.05,4245.0295,144.710999,3276.7743125,4194.211874999999,114.119003,,,,-4.82941923819723,1.063171009565428,-4.850542679382995,0.5679695318970488,5.527070299080523,5.664974900427732,11.95504694577298,11.15581175232563,,11.15581175232563,0,0.40317198399662313,0,0.0
6.6,3325.4476239999995,4256.6888739999995,0.019,x=332517.688_y=425696.031_z=251.996,x=0.000_y=0.000_z=0.000,0,3313.649,4244.5449375,144.880005,3276.7729375000004,4194.210125,114.119003,,,,-4.609941046839042,1.7322234506538967,-4.678088418244636,1.2630087455452355,6.690524410884686,6.950392136481867,29.387350903536618,12.313240649410265,,12.313240649410265,0,0.3871317936776143,0,0.0
6.7,3325.016686,4256.2462479999995,0.019,x=332469.344_y=425646.094_z=252.041,x=331474.656_y=424568.969_z=322.287,3,3313.2113124999996,4244.0156875,145.134995,3276.7714375,4194.2081875,114.119003,,,,-4.383428650389282,2.0463405700934594,-4.496083509729825,1.6120940199506562,3.1411711943956266,3.490852744054207,19.564167651370962,12.772072404599948,,12.772072404599948,0,0.37283135075075313,0,0.0
6.8,3324.5861240000004,4255.800186,0.019,x=332437.719_y=425613.312_z=252.013,x=331430.312_y=424522.875_z=319.754,3,3312.76325,4243.473875000001,145.113998,3276.7697500000004,4194.206125,114.119003,3265.7625,4186.7128125,,-4.203537292965979,2.097198487327414,-4.355449652862859,1.7137251485598297,0.5085791723395472,1.0163112860917356,17.54710129249075,12.631600936544897,,12.631600936544897,0,0.3592392852101153,0,0.0
6.9,3324.190372,4255.385748,0.019,x=332392.219_y=425565.781_z=252.959,x=0.000_y=0.000_z=0.000,0,3312.2578750000002,4242.862625,145.132996,3276.767875,4194.20375,114.119003,3265.7623437499997,4186.7125,,-3.9780422208436104,2.324376755129478,-4.1625363303708784,2.013088688492723,2.2717826780206396,2.9936353993289333,7.678263448280145,13.579768476342972,15.743708022160122,7.678263448280145,0,0.3475543342432305,0,0.0
7.0,3323.81556,4254.988997999999,0.019,x=332356.406_y=425527.969_z=251.994,x=0.000_y=0.000_z=0.000,0,3311.7190625000003,4242.2109375,145.371002,3276.7658125000003,4194.201125,114.119003,3265.762083333333,4186.712291666667,112.664001,-3.701474464437412,2.728714681813865,-3.90860601053342,2.5115663891400537,4.0433792668438695,4.984777006473307,5.804581109788396,14.170113487698066,16.430134274814417,5.804581109788396,0,0.3372597546179799,0,0.0
7.1,3323.4759979999994,4254.627686,0.019,x=332319.219_y=425488.406_z=253.057,x=0.000_y=0.000_z=0.000,0,3311.1575624999996,4241.5315625,145.429001,3276.7636875,4194.1984375,114.119003,3265.761875,4186.71203125,112.664001,-3.381613636579332,3.0936764611567447,-3.5984619435733673,2.9763881173336446,3.6496177934287966,4.648217281935909,4.63572037341263,15.510992743204232,17.987137695380625,4.63572037341263,0,0.3282747659721333,0,0.0
7.2,3323.1755619999994,4254.3053119999995,0.019,x=332281.156_y=425447.500_z=253.003,x=0.000_y=0.000_z=0.000,0,3310.5729374999996,4240.8243125,144.751007,3276.761375,4194.195562499999,114.119003,3265.7615625,4186.7116875,112.664001,-3.043074625471762,3.306408521788625,-3.2624886627049943,3.2708722047368313,2.1273206063188033,2.9448408740318666,3.857295071147766,17.378976360000458,20.146745856091385,3.857295071147766,0,0.32081558887422695,0,0.0
7.3,3322.8991880000003,4254.006374,0.019,x=332267.250_y=425432.406_z=253.020,x=0.000_y=0.000_z=0.000,0,3309.939625,4240.05825,144.244003,3276.7588125,4194.1923750000005,114.119003,3265.760875,4186.710875000001,112.664001,-2.7033669429930747,3.3572284572220408,-2.920162834736572,3.3835812421671925,0.5081993543341579,1.127090374303612,3.238626543076499,18.743151473843316,21.740975306498463,3.238626543076499,0,0.3143876910766664,0,-4.0149187384422514e-06
7.4,3322.6681879999996,4253.754812,0.019,x=332241.094_y=425404.156_z=253.001,x=0.000_y=0.000_z=0.000,0,3309.3240625,4239.313625,143.597,3276.7561875,4194.189125,114.119003,3265.760125,4186.710000000001,112.664001,-2.355237452243399,3.165226304643756,-2.5624365090500514,3.233254347627816,-1.9200215257828468,-1.5032689453937653,3.1444918864373257,22.292368729432834,25.83592765673811,3.1444918864373257,0,0.3093250655242469,0,-0.0001463389110624121
7.5,3322.4729999999995,4253.540562,0.019,x=332217.219_y=425377.844_z=252.994,x=0.000_y=0.000_z=0.000,0,3308.6979375,4238.556375,143.235001,3276.7533750000002,4194.185625,114.119003,3265.7591875000003,4186.708875,112.663002,-2.081605006709496,2.612257872981669,-2.279629567525255,2.6896935103740036,-5.529684316620873,-5.435608372538123,2.9361225492316105,26.256262436241652,30.39610359429633,2.9361225492316105,0,0.305354582574901,0,-0.0020669349033627005
7.6,3322.275,4253.322626,0.019,x=332202.844_y=425361.812_z=252.969,x=0.000_y=0.000_z=0.000,0,3308.0323750000002,4237.7516875,142.964005,3276.7503125000003,4194.181875,114.119003,3265.758,4186.7074999999995,112.663002,-1.917734538004489,1.94218170137639,-2.1106765581830214,2.0113960655796053,-6.700761716052788,-6.7829744479439835,2.81265827109586,25.769912010872325,29.85308971743674,2.81265827109586,0,0.30143602647810086,0,-0.01278987365412325
7.7,3322.100062,4253.129188,0.016,x=332182.750_y=425339.500_z=253.031,x=0.000_y=0.000_z=0.000,0,3307.39775,4236.984625,142.869995,3276.7473125,4194.178125,114.119003,3265.75675,4186.706,112.662003,-1.7757351504250791,1.5277185990591993,-1.9619621124134288,1.5993187018488055,-4.1446310231719075,-4.120773637307997,2.970502199434286,29.05211954941424,33.648168590728204,2.970502199434286,0,0.2981352028683281,0,-0.037739525546517674
7.8,3321.9372500000004,4252.948564,0.006,x=332167.312_y=425322.656_z=252.976,x=0.000_y=0.000_z=0.000,0,3306.7571875000003,4236.2106875,142.863007,3276.74425,4194.17425,114.119003,3265.7553125000004,4186.704374999999,112.662003,-1.6391584510754966,1.3503460111121446,-1.8166097752258445,1.4353329386975702,-1.7737258794705468,-1.6398576315123536,2.9663525486749576,31.119629856077452,36.04117121770484,2.9663525486749576,0,0.29517139045806007,0,-0.05382706547835231
7.9,3321.784564,4252.778938,0.003,x=332152.938_y=425306.938_z=252.989,x=0.000_y=0.000_z=0.000,0,3306.1119375000003,4235.431500000001,142.858002,3276.7411875,4194.1703125,114.119003,3265.7536875,4186.702500000001,112.661003,-1.518276346831181,1.2456264835230153,-1.6857336210711613,1.3429866975604932,-1.0471952758912928,-0.9234624113707701,2.983124700351142,33.11021442400811,38.37756721587689,2.983124700351142,0,0.2924348436376168,0,-0.03478123812199077
8.0,3321.6453760000004,4252.624314,0.004,x=332135.312_y=425287.312_z=253.009,x=0.000_y=0.000_z=0.000,0,3305.4718125,4234.6589375,142.850998,3276.738125,4194.166437500001,114.119003,3265.7519375,4186.700375,112.660004,-1.401183930613768,1.1735999232587633,-1.5576647990000574,1.2763399520315957,-0.7202656026425203,-0.6664674552889749,3.038813289679934,36.292654146265946,42.10054633314741,3.038813289679934,0,0.28993904464298936,0,-0.005842151536035371
