time,ego_x,ego_y,Steer,GazeOrigin,EyeHitSite,EyeHitType,vehicle_1_x,vehicle_1_y,vehicle_1_z,vehicle_2_x,vehicle_2_y,vehicle_2_z,vehicle_3_x,vehicle_3_y,vehicle_3_z,ego_x_vel,ego_x_acc,ego_y_vel,ego_y_acc,ego_x_acc_jerk,ego_y_acc_jerk,TTC_1,TTC_2,TTC_3,TTC_MIN,position,lateral_offset,collision,Steer_rate
9.5,3318.493814,4249.4266880000005,0.01,x=331828.719_y=424974.469_z=250.935,x=328610.312_y=419854.969_z=244.034,3.0,3316.4280208333334,4247.901041666667,140.817993,,,,,,,-2.6377104479430757,-4.527873849426866,-2.848359199994411,-5.009230610749645,-1.4137877698778034,-1.982712817271075,0.7347846280335582,,,0.7347846280335582,0.0,0.17818025684235358,0,0.004576341196460633
9.6,3318.1861900000004,4249.093126,0.01,x=331792.344_y=424934.906_z=252.061,x=328804.125_y=420063.062_z=161.707,3.0,3316.3949218750004,4247.861171875,140.848007,,,,,,,-3.0984563637347318,-4.628783627930758,-3.362030321089441,-5.1681635045492325,-1.0090977850389216,-1.589328937995873,0.5407751107882313,,,0.5407751107882313,0.0,0.1711753269770647,0,0.002513704913951224
9.7,3317.823314,4248.697937999999,0.01,x=331765.250_y=424905.344_z=251.968,x=0.000_y=0.000_z=0.000,0.0,3316.3551250000005,4247.813125,140.955002,3276.7796875,4194.21875,,,,,-3.5795543226943307,-4.775407891742344,-3.903243159976749,-5.394405473287142,-1.46624263811586,-2.2624196873790936,0.3614752750043105,,,0.3614752750043105,0.0,0.16322455175314807,0,0.001218131621999616
9.8,3317.423752,4248.260438,0.01,x=331722.000_y=424857.969_z=252.939,x=328843.938_y=420065.031_z=136.058,3.0,3316.2726875,4247.7136875,141.143005,3276.77953125,4194.21859375,,,,,-4.063350849860342,-4.958051921373309,-4.457695045217601,-5.690915318997245,-1.8264402963096504,-2.965098457101032,0.27491965359264114,11.416926642936899,,0.27491965359264114,0.0,0.1548995274888487,0,0.004216722743988389
9.9,3316.966564,4247.755688,0.011,x=331678.000_y=424809.531_z=253.964,x=0.000_y=0.000_z=0.000,0.0,3316.1543750000005,4247.5708125,141.322006,3276.779375,4194.218333333333,114.119003,,,,-4.592752046115008,-5.15426661217519,-5.075569191031116,-6.02855902170398,-1.9621469080188092,-3.376437027067354,0.16801354749819405,9.833943742427603,,0.16801354749819405,0.0,0.14612987601948957,0,0.012869650192126278
10.0,3316.445252,4247.1758119999995,0.014,x=331628.188_y=424754.250_z=255.001,x=329484.031_y=421142.469_z=153.840,3.0,3316.012375,4247.3995,141.406998,3276.779140625,4194.218046875,114.119003,,,,-5.133013080706275,-5.164962710732539,-5.718728864256136,-6.177350800187352,-0.10696098557348321,-1.4879177848337122,0.08740089061199441,8.489465736164796,,0.08740089061199441,0.0,0.13691876677530057,0,0.021645823600700817
10.1,3315.8840640000003,4246.5456859999995,0.017,x=331562.938_y=424681.250_z=255.985,x=0.000_y=0.000_z=0.000,0.0,3315.8391875,4247.1904374999995,141.742004,3276.778875,4194.2176875000005,114.119003,,,,-5.619125753243179,-4.91526879196094,-6.317260664943651,-6.050731628772299,2.4969391877159897,1.2661917141505263,0.11287859277771412,7.74596284188699,,0.11287859277771412,0.0,0.1280762565467458,0,0.01971902518964925
10.2,3315.279502,4245.860124,0.017,x=331503.750_y=424614.188_z=256.920,x=0.000_y=0.000_z=0.000,0.0,3315.6276875000003,4246.93525,142.082001,3276.7783124999996,4194.216937499999,114.119003,,,,-6.082833525565427,-4.5266062105985245,-6.908241796641122,-5.76894060556887,3.8866258136241516,2.8179102320342864,0.1938906515135653,7.054465102957224,,0.1938906515135653,0.0,0.1197763234910012,0,0.008244975460726897
10.3,3314.612564,4245.0949359999995,0.017,x=331440.469_y=424541.750_z=258.061,x=0.000_y=0.000_z=0.000,0.0,3315.3841249999996,4246.641187499999,142.576004,3276.7776249999997,4194.216,114.119003,,,,-6.499370536347168,-3.969440394213125,-7.460369458847264,-5.268466873109976,5.571658163853996,5.004737324588939,0.27281969191107214,6.253615071098934,,0.27281969191107214,0.0,0.11223913188789657,0,-0.0024653713790124695
10.4,3313.9368759999998,4244.31106,0.016,x=331374.844_y=424465.719_z=257.901,x=0.000_y=0.000_z=0.000,0.0,3315.121,4246.3235,143.154999,3276.77675,4194.2149375,114.119003,3265.7625,4186.7128125,,-6.802884097333452,-3.322057927959908,-7.891694887047491,-4.61915269128454,6.473824662532168,6.49314181825436,0.37507856958831004,6.0350714059432775,,0.37507856958831004,0.0,0.10617776002800454,0,-0.013361227931394574
