time,ego_x,ego_y,Steer,GazeOrigin,EyeHitSite,EyeHitType,vehicle_1_x,vehicle_1_y,vehicle_1_z,vehicle_2_x,vehicle_2_y,vehicle_2_z,vehicle_3_x,vehicle_3_y,vehicle_3_z,ego_x_vel,ego_x_acc,ego_y_vel,ego_y_acc,ego_x_acc_jerk,ego_y_acc_jerk,TTC_1,TTC_2,TTC_3,TTC_MIN,position,lateral_offset,collision,Steer_rate
7.1,3315.7277499999996,4246.569998,-0.005,x=331547.906_y=424685.812_z=255.015,x=331221.812_y=424359.812_z=144.684,3.0,3316.4354166666667,4247.91,140.819,,,,,,,-0.18523726345620156,-0.9482231279993931,-0.198893471154172,-1.0320843996154299,-3.5674233549997534,-3.8910124791065757,81.3580209778772,,,81.3580209778772,0.0,0.08923094982190302,0,1.3383062461474176e-06
7.2,3315.69575,4246.535374,-0.005,x=331545.438_y=424683.219_z=255.015,x=331247.031_y=424331.562_z=145.277,3.0,3316.405390625,4247.873671875,140.834,3276.7803125,4194.21875,,,,,-0.31931484676334904,-1.2583856450452688,-0.3448928729264732,-1.3690495563452223,-3.101625170458757,-3.3696515672979244,58.08771577098924,,,58.08771577098924,0.0,0.08848877482599,0,8.997553864677273e-05
7.3,3315.6491880000003,4246.485,-0.005,x=331540.688_y=424678.062_z=255.037,x=331271.375_y=424313.312_z=145.738,3.0,3316.364,4247.8237500000005,140.921997,3276.7799999999997,4194.21859375,,,,,-0.46836114713854715,-1.4747040492632437,-0.5067400746197219,-1.6033774043839784,-2.163184042179749,-2.3432784803875606,29.235264253558675,95.40772671567123,,29.235264253558675,0.0,0.0874077561193913,0,0.0011254794708605484
7.4,3315.5875,4246.418250000001,-0.005,x=331532.594_y=424669.375_z=255.919,x=330122.750_y=422659.312_z=144.544,3.0,3316.2909375000004,4247.7355,141.102997,3276.7797916666664,4194.2184375,114.119003,,,,-0.628170702463662,-1.6764825384010422,-0.6803230961152358,-1.825447148240602,-2.017784891377985,-2.220697438566237,6.139385080225258,71.766918718889,,6.139385080225258,0.0,0.08597768080262126,0,0.005424997109785518
7.5,3315.50925,4246.333438,-0.003,x=331525.281_y=424661.469_z=256.005,x=327649.906_y=419163.125_z=114.119,3.0,3316.1841875,4247.606687500001,141.320999,3276.779609375,4194.21828125,114.119003,,,,-0.8182718849395079,-1.972914104379409,-0.887812791318114,-2.1581050861958606,-2.9643156597836673,-3.3265793795525855,2.7488801223943367,56.38429908365283,,2.7488801223943367,0.0,0.08418932190564278,0,0.010992181877818353
7.6,3315.405688,4246.220938,-0.002,x=331517.031_y=424652.500_z=256.014,x=326557.250_y=417656.219_z=187.948,3.0,3316.0436875,4247.4371249999995,141.380997,3276.7793125,4194.218,114.119003,,,,-1.0568192543455721,-2.364182059815197,-1.1499914459002891,-2.603144041287138,-3.9126795543578785,-4.450389550912774,2.0204216097023613,42.47750788804446,,2.0204216097023613,0.0,0.0818685987341767,0,0.012100057957114378
7.7,3315.271564,4246.074562,-0.001,x=331506.250_y=424640.781_z=255.988,x=327869.062_y=419589.281_z=213.896,2.0,3315.8710625,4247.2288125000005,141.613998,3276.77875,4194.217375,114.119003,,,,-1.3335002978328683,-2.7869834632497934,-1.4565841337548284,-3.0910043130962297,-4.228014034345966,-4.878602718090916,1.7834786141676884,32.66814668572755,,1.7834786141676884,0.0,0.07898614772598014,0,0.013732383690756703
7.8,3315.1142520000003,4245.902186,0.0,x=331488.812_y=424621.781_z=255.997,x=330747.906_y=423730.531_z=142.739,3.0,3315.674125,4246.9911250000005,142.035004,3276.778125,4194.216625,114.119003,3265.7625,4186.7128125,,-1.653287504500427,-3.2267016494458813,-1.8135666430269688,-3.6040929435874007,-4.397181861960879,-5.13088630491171,1.6028292881585489,27.690661597193806,,1.6028292881585489,0.0,0.07573168639108231,0,0.024515610126903745
7.9,3314.9087520000003,4245.675998000001,0.007,x=331465.406_y=424596.031_z=256.973,x=331074.688_y=424197.188_z=145.032,3.0,3315.4365625000005,4246.704375,142.531006,3276.7773125,4194.2156875,114.119003,3265.7623437499997,4186.71265625,,-2.0321162156832417,-3.615408588291701,-2.23893719586884,-4.066848632936256,-3.8870693884581975,-4.627556893488549,1.6868387336408124,21.043590803056606,25.1358566401894,1.6868387336408124,0.0,0.07166412634882846,0,0.03335237827095851
8.0,3314.6647519999997,4245.406186,0.008,x=331446.469_y=424575.000_z=257.001,x=331022.656_y=424165.938_z=144.518,3.0,3315.1635624999994,4246.3748125,143.005005,3276.7763125,4194.2145,114.119003,3265.7621875,4186.712395833333,112.664001,-2.420205444241293,-3.868888148705046,-2.678645722932744,-4.387090849160108,-2.5347956041334507,-3.202422162238525,1.6404379771280437,17.5822793154102,21.018059609656575,1.6404379771280437,0.0,0.06706176481841646,0,0.021513004086176533
8.1,3314.3875639999997,4245.098124,0.008,x=331414.062_y=424539.062_z=257.000,x=331034.969_y=424161.156_z=144.633,3.0,3314.8549375000002,4246.0020625,143.626007,3276.7751875000004,4194.2130625,114.119003,3265.761953125,4186.712109375,112.664001,-2.808020006414589,-4.178260859078364,-3.1227678804240737,-4.77559703146666,-3.093727103733177,-3.8850618230655165,1.4148820811222207,15.336587278667581,18.351547132220794,1.4148820811222207,0.0,0.06211582055035665,0,0.006243411992215628
8.2,3314.073188,4244.747062,0.008,x=331384.031_y=424505.562_z=256.985,x=331096.000_y=424131.719_z=145.201,3.0,3314.5335,4245.613875,144.328003,3276.774,4194.2115625,114.119003,3265.7616875,4186.7118125,112.664001,-3.2791965663371236,-4.755063159908303,-3.664389405094523,-5.462981605837015,-5.768023008299394,-6.873845743703555,2.5970503079928546,13.38255357596749,16.037355848070128,2.5970503079928546,0.0,0.056810354376025156,0,0.0008044846651627726
